2017 NAICS Code (NAICS),Meaning of NAICS Code (NAICS_LABEL),Meaning of Establishments located in Metropolitan or Micropolitan Statistical Area indicator (METRO_LABEL),Meaning of Employment size of establishments code (EMPSZES_LABEL),Year (YEAR),Number of firms (FIRM),Number of establishments (ESTAB),Number of employees (EMP),(DHS) denominator (DENOM),Number of establishments born during the last 12 months (ESTABS_ENTRY),Rate of establishments born during the last 12 months (ESTABS_ENTRY_RATE),Number of establishments exited during the last 12 months (ESTABS_EXIT),Rate of establishments exited during the last 12 months (ESTABS_EXIT_RATE),Number of jobs created from expanding and opening establishments during the last 12 months (JOB_CREATION),Number of jobs created from opening establishments during the last 12 months (JOB_CREATION_BIRTHS),Number of jobs created from expanding establishments during the last 12 months (JOB_CREATION_CONTINUERS),Rate of jobs created from opening establishments during the last 12 months (JOB_CREATION_RATE_BIRTHS),Rate of jobs created from expanding and opening establishments during the last 12 months (JOB_CREATION_RATE),Number of jobs lost from contracting and closing establishments during the last 12 months (JOB_DESTRUCTION),Number of jobs lost from closing establishments during the last 12 months (JOB_DESTRUCTION_DEATHS),Number of jobs lost from contracting establishments during the last 12 months (JOB_DESTRUCTION_CONTINUERS),Rate of jobs lost from closing establishments during the last 12 months (JOB_DESTRUCTION_RATE_DEATHS),Rate of jobs lost from contracting and closing establishments during the last 12 months (JOB_DESTRUCTION_RATE),Number of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months (NET_JOB_CREATION),Rate of net jobs created from expanding/contracting and opening/closing establishments during the last 12 months (NET_JOB_CREATION_RATE),Rate of reallocation during the last 12 months (REALLOCATION_RATE),Number of firms that exited during the last 12 months (FIRMDEATH_FIRMS),Number of establishments associated with firm deaths during the last 12 months (FIRMDEATH_ESTABS),Number of employees associated with firm deaths during the last 12 months (FIRMDEATH_EMP)
0,Total for all sectors,Total,All establishments,2011,"4,996,589","6,674,326","113,015,715","112,276,129","660,198",9.887,"665,821",9.972,"14,761,634","4,576,131","10,185,503",4.076,13.148,"13,269,269","4,321,403","8,947,866",3.849,11.818,"1,492,365",1.329,23.637,"421,409","434,466","2,221,776"
0,Total for all sectors,Total,All establishments,2012,"5,043,263","6,716,128","115,526,121","114,278,518","670,149",10.01,"627,466",9.372,"15,794,847","4,698,977","11,095,870",4.112,13.821,"13,292,254","4,399,244","8,893,010",3.85,11.631,"2,502,593",2.19,23.263,"380,777","393,206","2,208,409"
0,Total for all sectors,Total,All establishments,2013,"5,068,322","6,757,576","117,784,482","116,700,197","661,255",9.817,"618,389",9.18,"15,550,500","4,913,293","10,637,207",4.21,13.325,"13,379,153","4,441,100","8,938,053",3.806,11.465,"2,171,347",1.861,22.929,"385,990","393,817","2,219,090"
0,Total for all sectors,Total,All establishments,2014,"5,105,413","6,833,449","120,333,310","119,037,689","672,834",9.9,"598,242",8.803,"15,609,577","5,066,420","10,543,157",4.256,13.113,"13,016,514","4,259,827","8,756,687",3.579,10.935,"2,593,063",2.178,21.87,"383,856","392,389","2,135,220"
0,Total for all sectors,Total,All establishments,2015,"5,151,425","6,913,301","123,359,195","121,847,121","688,532",10.017,"608,652",8.855,"16,315,828","5,386,840","10,928,988",4.421,13.39,"13,285,450","4,376,239","8,909,211",3.592,10.903,"3,030,378",2.487,21.807,"387,142","396,945","2,250,822"
0,Total for all sectors,Total,All establishments,2016,"5,218,621","7,042,357","126,000,156","124,680,129","712,388",10.209,"583,468",8.362,"16,121,243","5,312,339","10,808,904",4.261,12.93,"13,484,031","4,218,535","9,265,496",3.383,10.815,"2,637,212",2.115,21.63,"392,133","402,279","2,349,399"
0,Total for all sectors,Total,All establishments,2017,"5,252,300","7,084,581","127,851,900","126,786,971","681,776",9.653,"638,797",9.044,"17,183,688","5,313,958","11,869,730",4.191,13.553,"15,056,949","5,088,447","9,968,502",4.013,11.876,"2,126,739",1.677,23.752,"405,247","416,610","2,524,755"
0,Total for all sectors,Total,All establishments,2018,"5,288,148","7,104,505","129,965,396","128,965,339","654,920",9.237,"626,818",8.84,"16,183,987","4,833,759","11,350,228",3.748,12.549,"14,185,255","4,626,504","9,558,751",3.587,10.999,"1,998,732",1.55,21.999,"412,407","426,435","2,496,987"
0,Total for all sectors,Total,All establishments,2019,"5,337,267","7,169,813","132,094,919","131,065,106","673,443",9.436,"608,044",8.519,"15,692,659","4,806,712","10,885,947",3.667,11.973,"13,675,978","4,416,048","9,259,930",3.369,10.434,"2,016,681",1.539,20.869,"434,354","444,972","2,509,516"
0,Total for all sectors,Total,All establishments,2020,"5,326,121","7,162,273","132,833,490","132,440,961","669,205",9.34,"675,145",9.422,"15,766,555","5,222,826","10,543,729",3.944,11.905,"14,974,848","4,873,411","10,101,437",3.68,11.307,"791,707",0.598,22.614,"489,078","504,592","2,782,155"
